epoch, batch, loss, loss_f, f_mae, f_rmse
    1,     1,         0.060299,         0.060299,         0.071158,          0.11676
    1,     2,          0.33306,          0.33306,           0.1595,          0.27441
    1,     3,           3.3856,           3.3856,          0.54633,          0.87489
    1,     4,          0.34099,          0.34099,          0.16116,          0.27765
    1,     5,          0.92436,          0.92436,           0.2587,          0.45714
    2,     1,         0.055959,         0.055959,         0.066834,          0.11248
    2,     2,          0.33753,          0.33753,          0.16064,          0.27624
    2,     3,           0.3205,           0.3205,          0.15563,          0.26918
    2,     4,           3.2142,           3.2142,          0.52469,          0.85244
    2,     5,          0.90275,          0.90275,          0.25501,          0.45177
    3,     1,          0.05964,          0.05964,         0.070589,          0.11612
    3,     2,          0.89124,          0.89124,          0.25271,          0.44888
    3,     3,          0.31369,          0.31369,          0.15661,          0.26631
    3,     4,           3.0715,           3.0715,          0.50585,          0.83331
    3,     5,          0.32485,          0.32485,          0.16334,            0.271
    4,     1,          0.30944,          0.30944,           0.1583,           0.2645
    4,     2,         0.070465,         0.070465,         0.082101,          0.12622
    4,     3,          0.84721,          0.84721,          0.24635,          0.43765
    4,     4,          0.31223,          0.31223,          0.16486,          0.26568
    4,     5,           2.8474,           2.8474,           0.4832,          0.80233
    5,     1,          0.29318,          0.29318,          0.15792,          0.25745
    5,     2,          0.29736,          0.29736,           0.1644,          0.25928
    5,     3,         0.086957,         0.086957,         0.097382,          0.14021
    5,     4,          0.78922,          0.78922,          0.24876,          0.42241
    5,     5,           2.5533,           2.5533,          0.46083,          0.75977
    6,     1,         0.096494,         0.096494,          0.10516,           0.1477
    6,     2,          0.26222,          0.26222,          0.15471,          0.24348
    6,     3,           2.2631,           2.2631,          0.43652,          0.71528
    6,     4,          0.24883,          0.24883,          0.16034,          0.23718
    6,     5,          0.73615,          0.73615,          0.25432,          0.40796
    7,     1,          0.23486,          0.23486,          0.15323,          0.23043
    7,     2,          0.21758,          0.21758,          0.15523,          0.22179
    7,     3,          0.68966,          0.68966,          0.25558,          0.39487
    7,     4,            1.468,            1.468,          0.36686,           0.5761
    7,     5,          0.12383,          0.12383,          0.11972,          0.16732
    8,     1,           1.1016,           1.1016,          0.32803,          0.49905
    8,     2,           0.1136,           0.1136,          0.11202,          0.16026
    8,     3,           0.1326,           0.1326,          0.12971,          0.17314
    8,     4,          0.12651,          0.12651,          0.12965,          0.16912
    8,     5,          0.54478,          0.54478,          0.22347,          0.35095
    9,     1,          0.40672,          0.40672,          0.20856,          0.30323
    9,     2,          0.10549,          0.10549,          0.12427,          0.15443
    9,     3,          0.46619,          0.46619,          0.20115,          0.32465
    9,     4,         0.065124,         0.065124,          0.10247,          0.12134
    9,     5,          0.35173,          0.35173,          0.18335,          0.28199
   10,     1,           0.7898,           0.7898,          0.31695,          0.42256
   10,     2,         0.047459,         0.047459,         0.084007,          0.10358
   10,     3,         0.079756,         0.079756,         0.099584,          0.13428
   10,     4,          0.47462,          0.47462,          0.19861,          0.32757
   10,     5,           0.8239,           0.8239,          0.28429,          0.43159
   11,     1,          0.17679,          0.17679,          0.13087,          0.19992
   11,     2,         0.041006,         0.041006,          0.07777,         0.096285
   11,     3,          0.42234,          0.42234,          0.21221,            0.309
   11,     4,         0.050077,         0.050077,         0.076501,           0.1064
   11,     5,          0.41795,          0.41795,          0.19907,          0.30739
   12,     1,           0.4518,           0.4518,          0.20873,           0.3196
   12,     2,           0.5217,           0.5217,          0.23809,          0.34343
   12,     3,         0.045607,         0.045607,         0.073706,          0.10154
   12,     4,          0.42002,          0.42002,          0.18051,          0.30815
   12,     5,         0.048857,         0.048857,         0.078479,           0.1051
   13,     1,          0.04531,          0.04531,         0.073989,          0.10121
   13,     2,          0.27925,          0.27925,          0.15857,          0.25126
   13,     3,         0.043356,         0.043356,         0.067081,         0.099005
   13,     4,          0.38167,          0.38167,          0.18989,          0.29375
   13,     5,          0.54478,          0.54478,          0.26329,          0.35095
   14,     1,          0.51038,          0.51038,          0.25628,          0.33969
   14,     2,         0.044334,         0.044334,          0.06663,          0.10011
   14,     3,          0.12342,          0.12342,          0.11103,          0.16704
   14,     4,          0.36906,          0.36906,          0.20719,          0.28886
   14,     5,         0.020506,         0.020506,         0.050609,         0.068087
   15,     1,          0.37694,          0.37694,          0.21016,          0.29192
   15,     2,         0.015978,         0.015978,         0.045398,         0.060102
   15,     3,         0.023242,         0.023242,         0.047546,         0.072488
   15,     4,          0.11062,          0.11062,          0.10524,          0.15814
   15,     5,          0.30741,          0.30741,          0.18146,          0.26363
   16,     1,          0.33063,          0.33063,          0.19922,           0.2734
   16,     2,          0.29772,          0.29772,          0.18028,          0.25944
   16,     3,          0.11409,          0.11409,          0.10408,          0.16061
   16,     4,         0.028445,         0.028445,         0.059785,         0.080192
   16,     5,         0.020416,         0.020416,         0.052695,         0.067939
   17,     1,         0.019226,         0.019226,         0.050361,         0.065929
   17,     2,          0.21609,          0.21609,           0.1562,          0.22103
   17,     3,          0.30909,          0.30909,          0.19602,          0.26435
   17,     4,         0.040145,         0.040145,         0.058633,         0.095268
   17,     5,          0.17342,          0.17342,          0.13369,          0.19801
   18,     1,          0.29239,          0.29239,          0.19224,          0.25711
   18,     2,          0.12878,          0.12878,          0.11813,          0.17063
   18,     3,          0.25461,          0.25461,          0.16726,          0.23992
   18,     4,         0.014494,         0.014494,         0.043656,         0.057244
   18,     5,          0.01985,          0.01985,         0.049204,         0.066989
   19,     1,          0.26081,          0.26081,          0.17838,          0.24283
   19,     2,         0.019866,         0.019866,         0.050154,         0.067018
   19,     3,         0.012306,         0.012306,         0.041054,         0.052745
   19,     4,          0.06115,          0.06115,         0.080611,          0.11758
   19,     5,          0.30205,          0.30205,           0.1817,          0.26132
   20,     1,         0.012601,         0.012601,         0.040887,         0.053374
   20,     2,          0.25337,          0.25337,          0.17137,          0.23934
   20,     3,         0.029075,         0.029075,         0.051084,         0.081076
   20,     4,          0.29491,          0.29491,          0.18978,          0.25821
   20,     5,         0.081586,         0.081586,          0.09193,          0.13581
   21,     1,           0.2896,           0.2896,            0.186,          0.25588
   21,     2,          0.16951,          0.16951,          0.14493,          0.19576
   21,     3,         0.018402,         0.018402,          0.04715,         0.064501
   21,     4,         0.043965,         0.043965,          0.06176,         0.099698
   21,     5,         0.086989,         0.086989,          0.10043,          0.14024
   22,     1,         0.082005,         0.082005,         0.097471,          0.13616
   22,     2,         0.019932,         0.019932,         0.045412,         0.067129
   22,     3,          0.20684,          0.20684,          0.15187,          0.21625
   22,     4,          0.22411,          0.22411,          0.16758,          0.22509
   22,     5,         0.018262,         0.018262,         0.045233,         0.064256
   23,     1,          0.20037,          0.20037,          0.14916,          0.21284
   23,     2,         0.014565,         0.014565,         0.038767,         0.057384
   23,     3,         0.053733,         0.053733,         0.078657,          0.11022
   23,     4,          0.24096,          0.24096,          0.17399,           0.2334
   23,     5,         0.014127,         0.014127,         0.038836,         0.056513
   24,     1,          0.22408,          0.22408,          0.16851,          0.22508
   24,     2,          0.15984,          0.15984,          0.13667,           0.1901
   24,     3,         0.022634,         0.022634,         0.053036,         0.071534
   24,     4,         0.020059,         0.020059,         0.051645,         0.067342
   24,     5,         0.051328,         0.051328,         0.082631,          0.10772
   25,     1,          0.18569,          0.18569,          0.15655,          0.20489
   25,     2,          0.16454,          0.16454,          0.14025,          0.19287
   25,     3,         0.046482,         0.046482,         0.078553,          0.10251
   25,     4,         0.022232,         0.022232,         0.052072,         0.070895
   25,     5,         0.016999,         0.016999,         0.044151,         0.061992
   26,     1,         0.037495,         0.037495,          0.06856,          0.09207
   26,     2,          0.01699,          0.01699,         0.042257,         0.061977
   26,     3,          0.15107,          0.15107,          0.13319,          0.18481
   26,     4,        0.0089927,        0.0089927,         0.033073,         0.045089
   26,     5,          0.20775,          0.20775,          0.16707,          0.21672
   27,     1,         0.014357,         0.014357,         0.042599,         0.056972
   27,     2,         0.032566,         0.032566,          0.06202,         0.085805
   27,     3,         0.013658,         0.013658,         0.039335,         0.055568
   27,     4,           0.1492,           0.1492,           0.1278,          0.18366
   27,     5,          0.17154,          0.17154,          0.15513,          0.19693
   28,     1,          0.15993,          0.15993,          0.15119,          0.19015
   28,     2,         0.026934,         0.026934,         0.056465,         0.078033
   28,     3,          0.16524,          0.16524,          0.13582,          0.19328
   28,     4,         0.026025,         0.026025,         0.066518,         0.076705
   28,     5,         0.028464,         0.028464,         0.068043,         0.080219
   29,     1,          0.13465,          0.13465,          0.12441,          0.17448
   29,     2,         0.026164,         0.026164,         0.058516,          0.07691
   29,     3,          0.16949,          0.16949,          0.15687,          0.19575
   29,     4,         0.034026,         0.034026,         0.060457,         0.087707
   29,     5,         0.015832,         0.015832,          0.04436,         0.059827
   30,     1,          0.10623,          0.10623,            0.111,          0.15497
   30,     2,         0.032349,         0.032349,         0.063719,         0.085519
   30,     3,         0.015648,         0.015648,         0.047301,         0.059479
   30,     4,         0.015029,         0.015029,         0.046254,          0.05829
   30,     5,          0.16046,          0.16046,          0.15446,          0.19047
   31,     1,           0.1123,           0.1123,          0.11114,          0.15934
   31,     2,         0.022725,         0.022725,         0.051225,         0.071678
   31,     3,         0.018381,         0.018381,         0.047821,         0.064464
   31,     4,          0.12315,          0.12315,          0.13898,          0.16686
   31,     5,          0.01872,          0.01872,         0.054444,         0.065056
   32,     1,         0.017699,         0.017699,         0.054348,         0.063256
   32,     2,         0.092347,         0.092347,          0.11945,          0.14449
   32,     3,          0.17506,          0.17506,          0.14207,          0.19894
   32,     4,           0.0313,           0.0313,         0.058098,          0.08412
   32,     5,         0.025085,         0.025085,         0.053294,         0.075308
   33,     1,         0.015878,         0.015878,         0.046273,         0.059915
   33,     2,        0.0082613,        0.0082613,           0.0338,         0.043217
   33,     3,          0.10097,          0.10097,         0.099587,          0.15109
   33,     4,         0.037813,         0.037813,         0.058968,          0.09246
   33,     5,          0.18629,          0.18629,          0.16039,          0.20522
   34,     1,         0.012289,         0.012289,          0.04202,         0.052709
   34,     2,          0.14606,          0.14606,          0.14506,          0.18172
   34,     3,         0.094552,         0.094552,          0.10314,          0.14621
   34,     4,         0.017947,         0.017947,          0.04496,         0.063699
   34,     5,        0.0086028,        0.0086028,         0.034879,         0.044101
   35,     1,         0.026131,         0.026131,         0.055463,         0.076862
   35,     2,         0.010312,         0.010312,         0.038608,         0.048285
   35,     3,          0.12541,          0.12541,          0.11928,          0.16838
   35,     4,         0.089953,         0.089953,          0.11793,          0.14261
   35,     5,         0.012175,         0.012175,         0.038918,         0.052464
   36,     1,         0.082287,         0.082287,         0.096052,          0.13639
   36,     2,          0.11215,          0.11215,          0.13329,          0.15923
   36,     3,        0.0097042,        0.0097042,           0.0353,         0.046839
   36,     4,         0.013952,         0.013952,         0.040791,         0.056163
   36,     5,         0.030142,         0.030142,          0.05343,          0.08255
   37,     1,         0.017734,         0.017734,         0.043694,         0.063319
   37,     2,         0.082989,         0.082989,         0.086138,          0.13698
   37,     3,         0.017107,         0.017107,         0.045304,         0.062189
   37,     4,         0.018449,         0.018449,         0.045529,         0.064583
   37,     5,         0.098941,         0.098941,          0.12497,          0.14956
   38,     1,         0.018523,         0.018523,         0.042289,         0.064712
   38,     2,         0.074293,         0.074293,         0.092138,           0.1296
   38,     3,        0.0090041,        0.0090041,         0.033744,         0.045118
   38,     4,        0.0087957,        0.0087957,         0.033493,         0.044593
   38,     5,         0.096252,         0.096252,          0.12377,          0.14752
   39,     1,        0.0089568,        0.0089568,         0.034812,         0.044999
   39,     2,          0.01125,          0.01125,         0.033556,         0.050432
   39,     3,         0.069487,         0.069487,          0.10648,          0.12534
   39,     4,         0.012975,         0.012975,          0.04129,         0.054162
   39,     5,          0.10591,          0.10591,          0.10789,          0.15474
   40,     1,         0.013279,         0.013279,         0.042188,         0.054791
   40,     2,         0.010125,         0.010125,         0.035597,         0.047845
   40,     3,        0.0083695,        0.0083695,         0.030463,         0.043499
   40,     4,         0.078271,         0.078271,          0.10879,          0.13302
   40,     5,         0.058519,         0.058519,         0.081388,          0.11502
   41,     1,        0.0071256,        0.0071256,         0.031374,         0.040137
   41,     2,        0.0055791,        0.0055791,         0.025597,         0.035515
   41,     3,         0.045489,         0.045489,         0.073876,          0.10141
   41,     4,         0.086365,         0.086365,          0.11492,          0.13973
   41,     5,         0.017537,         0.017537,         0.041688,         0.062966
   42,     1,         0.011367,         0.011367,         0.036159,         0.050695
   42,     2,         0.055454,         0.055454,         0.076177,          0.11197
   42,     3,         0.011823,         0.011823,         0.036393,         0.051701
   42,     4,         0.022633,         0.022633,         0.047717,         0.071533
   42,     5,         0.064065,         0.064065,         0.098571,          0.12035
   43,     1,         0.047033,         0.047033,         0.072926,          0.10312
   43,     2,        0.0037988,        0.0037988,         0.022436,         0.029306
   43,     3,         0.010321,         0.010321,         0.037579,         0.048306
   43,     4,        0.0073221,        0.0073221,          0.03326,         0.040686
   43,     5,         0.069833,         0.069833,          0.10676,          0.12565
   44,     1,        0.0082606,        0.0082606,         0.029319,         0.043215
   44,     2,         0.048126,         0.048126,         0.090023,          0.10431
   44,     3,         0.015725,         0.015725,          0.04336,         0.059625
   44,     4,         0.014861,         0.014861,         0.042223,         0.057963
   44,     5,         0.085375,         0.085375,         0.099276,          0.13893
   45,     1,        0.0093799,        0.0093799,         0.032955,          0.04605
   45,     2,        0.0079247,        0.0079247,         0.031585,         0.042327
   45,     3,        0.0072338,        0.0072338,         0.030161,          0.04044
   45,     4,          0.06038,          0.06038,         0.093708,          0.11684
   45,     5,         0.038666,         0.038666,         0.067834,         0.093497
   46,     1,         0.017662,         0.017662,         0.044741,         0.063191
   46,     2,         0.053488,         0.053488,         0.090378,          0.10997
   46,     3,        0.0051181,        0.0051181,         0.024193,         0.034016
   46,     4,         0.011734,         0.011734,         0.035748,         0.051505
   46,     5,         0.054642,         0.054642,         0.077786,          0.11115
   47,     1,         0.034384,         0.034384,         0.069542,         0.088168
   47,     2,        0.0046195,        0.0046195,         0.023817,         0.032317
   47,     3,         0.010819,         0.010819,         0.038318,         0.049457
   47,     4,        0.0093899,        0.0093899,         0.033011,         0.046075
   47,     5,         0.046442,         0.046442,         0.074272,          0.10247
   48,     1,         0.037699,         0.037699,         0.074571,          0.09232
   48,     2,         0.033692,         0.033692,         0.063965,         0.087276
   48,     3,        0.0054597,        0.0054597,         0.023152,         0.035133
   48,     4,         0.013419,         0.013419,         0.039391,         0.055079
   48,     5,         0.011834,         0.011834,         0.038346,         0.051724
   49,     1,         0.011682,         0.011682,         0.038078,         0.051391
   49,     2,          0.03832,          0.03832,          0.06743,         0.093077
   49,     3,         0.060182,         0.060182,         0.093545,          0.11664
   49,     4,        0.0039554,        0.0039554,         0.020628,         0.029904
   49,     5,         0.019793,         0.019793,         0.041295,         0.066894
   50,     1,         0.036949,         0.036949,          0.07485,         0.091397
   50,     2,          0.01002,          0.01002,         0.037301,         0.047594
   50,     3,         0.062481,         0.062481,          0.09597,          0.11885
   50,     4,         0.011079,         0.011079,         0.036906,         0.050047
   50,     5,        0.0088503,        0.0088503,         0.035135,         0.044731
   51,     1,         0.010404,         0.010404,         0.033703,           0.0485
   51,     2,         0.032856,         0.032856,         0.063287,         0.086186
   51,     3,         0.009066,         0.009066,         0.031395,         0.045273
   51,     4,          0.02899,          0.02899,         0.058708,         0.080957
   51,     5,         0.068807,         0.068807,          0.10543,          0.12472
   52,     1,        0.0053499,        0.0053499,         0.026202,         0.034778
   52,     2,         0.040568,         0.040568,         0.076026,         0.095769
   52,     3,         0.012257,         0.012257,         0.033535,          0.05264
   52,     4,         0.010951,         0.010951,         0.035858,         0.049758
   52,     5,         0.065112,         0.065112,         0.099109,          0.12133
   53,     1,         0.057543,         0.057543,         0.090175,          0.11406
   53,     2,         0.013114,         0.013114,         0.041839,          0.05445
   53,     3,         0.088836,         0.088836,         0.076727,          0.14172
   53,     4,         0.053285,         0.053285,         0.085152,          0.10976
   53,     5,         0.021499,         0.021499,         0.052471,         0.069717
   54,     1,         0.018049,         0.018049,         0.051082,         0.063879
   54,     2,         0.041097,         0.041097,         0.060416,         0.096391
   54,     3,          0.10025,          0.10025,          0.12053,          0.15055
   54,     4,         0.017526,         0.017526,          0.04094,         0.062947
   54,     5,         0.053175,         0.053175,         0.085247,          0.10964
   55,     1,         0.012152,         0.012152,         0.033833,         0.052416
   55,     2,         0.041279,         0.041279,         0.069553,         0.096604
   55,     3,         0.034352,         0.034352,         0.069768,         0.088127
   55,     4,         0.016175,         0.016175,         0.044337,         0.060471
   55,     5,         0.017938,         0.017938,         0.041423,         0.063683
   56,     1,        0.0046321,        0.0046321,         0.025693,         0.032361
   56,     2,         0.012084,         0.012084,         0.034064,         0.052268
   56,     3,         0.033372,         0.033372,         0.059208,          0.08686
   56,     4,        0.0049452,        0.0049452,         0.027109,         0.033437
   56,     5,         0.043849,         0.043849,         0.077536,         0.099566
   57,     1,          0.03428,          0.03428,         0.069738,         0.088034
   57,     2,        0.0073055,        0.0073055,         0.028638,          0.04064
   57,     3,         0.011214,         0.011214,         0.038592,         0.050352
   57,     4,         0.023998,         0.023998,         0.043855,         0.073657
   57,     5,         0.059781,         0.059781,         0.085176,          0.11626
   58,     1,         0.032989,         0.032989,         0.065976,         0.086361
   58,     2,         0.033835,         0.033835,         0.064603,         0.087461
   58,     3,         0.020452,         0.020452,         0.047553,         0.067999
   58,     4,         0.007641,         0.007641,         0.033265,         0.041563
   58,     5,        0.0088288,        0.0088288,         0.032504,         0.044677
   59,     1,         0.046026,         0.046026,         0.078813,          0.10201
   59,     2,         0.012201,         0.012201,         0.039796,          0.05252
   59,     3,         0.051598,         0.051598,         0.082639,          0.10801
   59,     4,        0.0050289,        0.0050289,         0.021939,         0.033718
   59,     5,         0.008228,         0.008228,         0.027451,          0.04313
   60,     1,        0.0058421,        0.0058421,         0.021473,         0.036343
   60,     2,         0.049599,         0.049599,          0.07716,          0.10589
   60,     3,         0.030512,         0.030512,         0.067405,         0.083055
   60,     4,        0.0047503,        0.0047503,          0.02531,         0.032771
   60,     5,        0.0091663,        0.0091663,         0.032312,         0.045523
   61,     1,         0.025253,         0.025253,         0.058428,         0.075559
   61,     2,        0.0048903,        0.0048903,          0.02391,         0.033251
   61,     3,         0.022441,         0.022441,         0.050574,         0.071229
   61,     4,         0.019613,         0.019613,         0.044743,         0.066588
   61,     5,         0.049309,         0.049309,         0.085814,          0.10558
   62,     1,        0.0023828,        0.0023828,         0.017993,          0.02321
   62,     2,         0.028468,         0.028468,         0.056548,         0.080226
   62,     3,        0.0051859,        0.0051859,         0.024247,         0.034241
   62,     4,         0.035462,         0.035462,         0.067567,         0.089539
   62,     5,         0.025222,         0.025222,         0.047116,         0.075513
   63,     1,          0.03258,          0.03258,         0.064679,         0.085824
   63,     2,        0.0064451,        0.0064451,         0.022699,         0.038172
   63,     3,        0.0081346,        0.0081346,         0.031733,         0.042884
   63,     4,         0.026685,         0.026685,         0.047521,         0.077673
   63,     5,         0.045915,         0.045915,         0.077983,          0.10188
   64,     1,         0.033745,         0.033745,         0.070162,         0.087345
   64,     2,        0.0057709,        0.0057709,         0.027764,          0.03612
   64,     3,         0.035918,         0.035918,         0.065693,         0.090112
   64,     4,         0.023897,         0.023897,         0.046609,         0.073503
   64,     5,         0.011139,         0.011139,         0.038675,         0.050182
   65,     1,        0.0086804,        0.0086804,         0.034277,           0.0443
   65,     2,        0.0049598,        0.0049598,         0.024262,         0.033486
   65,     3,         0.020096,         0.020096,         0.039676,         0.067405
   65,     4,         0.046811,         0.046811,         0.076527,          0.10287
   65,     5,         0.050989,         0.050989,          0.08133,          0.10737
   66,     1,         0.014216,         0.014216,         0.046837,         0.056691
   66,     2,         0.018707,         0.018707,         0.049943,         0.065033
   66,     3,         0.044552,         0.044552,           0.0784,          0.10036
   66,     4,         0.020036,         0.020036,         0.045787,         0.067304
   66,     5,         0.042077,         0.042077,         0.078065,         0.097533
   67,     1,         0.026011,         0.026011,         0.062717,         0.076685
   67,     2,        0.0097883,        0.0097883,         0.040243,         0.047042
   67,     3,         0.035621,         0.035621,         0.057728,          0.08974
